id,Nazwa produktu,Producent,id,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,
39,Otuliny TECLIT PS,ROCKWOOL,243,1,M,,,,64,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,244,1,M,,,,64,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,245,1,M,,,,64,,60,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,246,1,M,,,,64,,70,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,247,1,M,,,,70,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,248,1,M,,,,70,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,249,1,M,,,,70,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,250,1,M,,,,70,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,251,1,M,,,,70,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,252,1,M,,,,70,,70,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,253,1,M,,,,76,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,254,1,M,,,,76,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,255,1,M,,,,76,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,256,1,M,,,,76,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,257,1,M,,,,76,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,258,1,M,,,,76,,70,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,259,1,M,,,,76,,80,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,260,1,M,,,,89,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,261,1,M,,,,89,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,262,1,M,,,,89,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,263,1,M,,,,89,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,264,1,M,,,,89,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,265,1,M,,,,89,,100,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,266,1,M,,,,108,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,267,1,M,,,,108,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,268,1,M,,,,108,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,269,1,M,,,,108,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,270,1,M,,,,108,,80,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,271,1,M,,,,108,,100,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,272,1,M,,,,114,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,273,1,M,,,,114,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,274,1,M,,,,114,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,275,1,M,,,,114,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,276,1,M,,,,114,,100,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,277,1,M,,,,133,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,278,1,M,,,,133,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,279,1,M,,,,133,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,280,1,M,,,,133,,50,paleta,1,pełna paleta
